frame,area_ratio,block_diff,status,overtake_chance,duration_penalty
409,3.5555555555555554,-34.600000000000364,MOVING AWAY,73,0.0
410,3.5555555555555554,205.60000000000036,APPROACHING,73,0.0
411,3.5555555555555554,205.60000000000036,APPROACHING,74,0.0
412,3.5555555555555554,205.60000000000036,APPROACHING,74,0.0
413,3.9293495175848117,205.60000000000036,APPROACHING,74,0.0
414,3.5555555555555554,205.60000000000036,APPROACHING,75,0.0
415,3.630314347961407,240.20000000000073,APPROACHING,78,0.0
416,3.5555555555555554,240.20000000000073,APPROACHING,81,0.0
417,3.5555555555555554,240.20000000000073,APPROACHING,84,0.0
418,3.5555555555555554,240.20000000000073,APPROACHING,87,0.0
419,3.5555555555555554,240.20000000000073,APPROACHING,90,0.0
420,3.5555555555555554,-240.20000000000073,MOVING AWAY,87,0.0
421,3.5555555555555554,-240.20000000000073,MOVING AWAY,84,0.0
422,3.2356053532524123,-240.20000000000073,MOVING AWAY,81,0.0
423,2.9243697478991595,-240.20000000000073,MOVING AWAY,77,0.0
424,2.660753190164955,-240.20000000000073,MOVING AWAY,73,0.0
425,3.007407407407407,-1761.2000000000007,MOVING AWAY,70,0.0
426,2.660753190164955,-1761.2000000000007,MOVING AWAY,66,0.0
427,2.660753190164955,-1761.2000000000007,MOVING AWAY,62,0.0
428,2.660753190164955,-1761.2000000000007,MOVING AWAY,57,0.0
429,2.660753190164955,-1761.2000000000007,MOVING AWAY,53,0.0
430,2.7134765017117957,-944.3999999999996,MOVING AWAY,52,0.0
431,2.9243697478991595,-944.3999999999996,MOVING AWAY,52,0.0
432,2.660753190164955,-944.3999999999996,MOVING AWAY,51,0.0
433,2.9243697478991595,-944.3999999999996,MOVING AWAY,51,0.0
434,3.2356053532524123,-944.3999999999996,MOVING AWAY,52,0.0
435,2.9338935574229694,708.2000000000007,APPROACHING,55,0.0
436,3.2356053532524123,708.2000000000007,APPROACHING,59,0.0
437,2.9243697478991595,708.2000000000007,APPROACHING,63,0.0
438,2.660753190164955,708.2000000000007,APPROACHING,66,0.0
439,2.660753190164955,708.2000000000007,APPROACHING,69,0.0
440,2.778213507625272,-500.2000000000007,MOVING AWAY,69,0.0
